iter	Passed	Remaining
644	11750	6467
645	11767	6448
646	11786	6430
647	11804	6412
648	11821	6393
649	11839	6375
650	11856	6356
651	11874	6337
652	11892	6319
653	11910	6301
654	11925	6281
655	11941	6261
656	11957	6242
657	11976	6224
658	11994	6206
659	12013	6188
660	12031	6170
661	12049	6152
662	12069	6134
663	12086	6116
664	12105	6098
665	12122	6079
666	12139	6060
667	12159	6043
668	12178	6025
669	12196	6007
670	12213	5988
671	12230	5969
672	12247	5950
673	12263	5931
674	12280	5912
675	12297	5894
676	12313	5875
677	12330	5856
678	12346	5836
679	12363	5817
680	12381	5799
681	12397	5780
682	12414	5761
683	12431	5743
684	12449	5724
685	12466	5706
686	12483	5687
687	12499	5668
688	12517	5649
689	12536	5632
690	12556	5614
691	12575	5597
692	12591	5578
693	12608	5559
694	12625	5540
695	12641	5521
696	12656	5502
697	12674	5483
698	12691	5465
699	12708	5446
700	12725	5428
701	12742	5409
702	12759	5390
703	12776	5372
704	12793	5353
705	12811	5335
706	12827	5315
707	12843	5297
708	12860	5278
709	12878	5260
710	12894	5241
711	12910	5222
712	12927	5203
713	12945	5185
714	12963	5167
715	12981	5148
716	12998	5130
717	13014	5111
718	13033	5093
719	13053	5076
720	13072	5058
721	13090	5040
722	13108	5022
723	13126	5003
724	13143	4985
725	13161	4967
726	13178	4948
727	13195	4930
728	13211	4911
729	13228	4892
730	13245	4874
731	13263	4855
732	13279	4837
733	13296	4818
734	13313	4800
735	13330	4781
736	13348	4763
737	13365	4744
738	13382	4726
739	13399	4707
740	13415	4689
741	13433	4670
742	13450	4652
743	13468	4634
744	13484	4615
745	13502	4597
746	13520	4579
747	13539	4561
748	13560	4544
749	13582	4527
750	13602	4509
751	13621	4492
752	13643	4475
753	13661	4457
754	13679	4438
755	13694	4419
756	13710	4401
757	13727	4382
758	13742	4363
759	13761	4345
760	13777	4326
761	13794	4308
762	13810	4289
763	13827	4271
764	13844	4252
765	13861	4234
766	13877	4215
767	13895	4197
768	13912	4179
769	13928	4160
770	13946	4142
771	13962	4123
772	13979	4105
773	13996	4086
774	14014	4068
775	14032	4050
776	14051	4032
777	14069	4014
778	14085	3996
779	14102	3977
780	14121	3959
781	14138	3941
782	14155	3922
783	14172	3904
784	14191	3886
785	14208	3868
786	14227	3850
787	14245	3832
788	14265	3814
789	14283	3796
790	14300	3778
791	14319	3760
792	14335	3742
793	14354	3724
794	14369	3705
795	14386	3686
796	14405	3669
797	14423	3651
798	14439	3632
799	14456	3614
800	14473	3595
801	14491	3577
802	14510	3559
803	14528	3541
804	14545	3523
805	14563	3505
806	14580	3487
807	14596	3468
808	14612	3449
809	14626	3431
810	14643	3412
811	14657	3393
812	14674	3375
813	14690	3356
814	14707	3338
815	14722	3319
816	14739	3301
817	14755	3282
818	14770	3264
819	14788	3246
820	14804	3227
821	14821	3209
822	14837	3191
823	14854	3172
824	14871	3154
825	14888	3136
826	14907	3118
827	14922	3099
828	14937	3081
829	14953	3062
830	14971	3044
831	14990	3026
832	15009	3009
833	15028	2991
